職稱,公司名稱,要求工作經驗,要求學歷,所需技能
業務助理 - 醫療保健事業單位/標案部,台灣大昌華嘉股份有限公司,2年以上,專科、大學,不拘
Customer Service & Administrative Intern,台灣羅達萊克斯有限公司,不拘,大學,國際貿易基本概念
中區業務專員 Sales Representative,優視德股份有限公司,不拘,高中以上,不拘
事業夥伴發展主任,NU SKIN_美商如新華茂股份有限公司台灣分公司,不拘,大學、碩士,不拘
F16/QE - Big Data Engineer,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),不拘,碩士,不拘
品牌採購專員-Merchandiser (accessories team),香港商藍鐘商業有限公司,5年以上,大學、碩士,不拘
醫療業務代表暨技術支援人員(中區),君頂有限公司,3年以上,專科以上,不拘
應用工程師(台南) Applications Engineer,美商科磊股份有限公司台灣分公司_KLA Taiwan,不拘,碩士,不拘
北區業務專員 Sales Representative,優視德股份有限公司,不拘,高中以上,不拘
EHS - F11 SAFETY SHIFT ENGINEER,台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),不拘,專科、大學、碩士,工作安全與環保衛生
Sales Director,美商多特瑞有限公司台灣分公司,7年以上,大學、碩士,"['部門人力成本控制', '預算編製與成本控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明', '工作任務╱業績項目分配', '培育人員職涯發展', '業績目標達成', '督導人員工作績效', '協商談判能力', '研討會／講座活動規劃與執行']"
Asia Sales,香港商華德高科有限公司台灣分公司,5年以上,大學、碩士,不拘
Sales Manager,宸曜科技股份有限公司,8年以上,大學以上,"['國外業務開發', '業務或通路開發']"
Solution Sales,Gorilla Technology Group_大猩猩科技股份有限公司,3年以上,大學、碩士,不拘
GLOBAL SALES,燁貿國際股份有限公司,3年以上,大學以上,不拘
Sales,新醫科技股份有限公司,不拘,專科以上,不拘
Sales  Manager,必恩威亞太有限公司,6年以上,大學、碩士,不拘
Sales Specialist,和蓮光電科技股份有限公司,5年以上,大學、碩士,不拘
Sales Representative,萊鎂醫療器材股份有限公司,5年以上,大學、碩士,不拘
